epoch,train_loss,test_acc
1,4.466450338473406,8.54
2,3.8804519694784414,14.13
3,3.5881362839428057,19.73
4,3.357914624616618,21.79
5,3.2231487102825622,24.87
6,3.1278741155439023,26.82
7,3.065434842768228,29.62
8,3.0113155448528204,28.76
9,2.9746489808382583,29.55
10,2.9513983247835007,30.19
11,2.9239274583509207,30.65
12,2.9089929112388044,33.53
13,2.8928372341653574,30.66
14,2.881884862394894,32.95
15,2.8733241606856246,31.02
16,2.8678312701032596,33.51
17,2.8609043987815643,32.06
18,2.8482121543201337,32.78
19,2.844435583904881,31.52
20,2.836018897688297,33.84
