epoch,train_loss,test_acc
1,3.04643855070519,42.56
2,2.411741354276457,46.05
3,2.1527762845958893,49.53
4,1.9153662279743673,49.98
5,1.7369759317554172,52.35
6,1.5852430263138793,52.0
7,1.483614281620211,51.62
8,1.3588052445360461,52.71
9,1.25289142680595,52.14
10,1.1973698989814505,46.63
11,1.1966739932594397,50.69
12,1.1072410989905257,51.63
13,1.069489640957864,51.74
14,1.088621290900823,50.87
15,1.0387505023070918,52.37
16,1.0049195570104263,51.87
17,1.016669180844446,51.19
18,1.014246725365329,51.55
19,0.9791385862223633,52.25
20,0.9920985160581292,50.53
