epoch,train_loss,test_acc
1,4.638957533385137,7.3
2,3.9486233267332893,12.92
3,3.647436747465597,15.6
4,3.42691186443924,26.2
5,3.195189552233957,27.06
6,3.0414866340129882,29.85
7,2.9361639102096753,32.67
8,2.8491206425230216,32.45
9,2.783345924923792,35.01
10,2.72702027891603,33.94
11,2.6828004868743975,37.33
12,2.6319518942967095,36.03
13,2.598968934525004,35.71
14,2.5643892812606928,37.97
15,2.551082364738445,37.56
16,2.513767794879806,37.31
17,2.4863116003363332,37.16
18,2.471251915787797,38.61
19,2.459302586972561,38.6
20,2.442216048155294,38.21
