epoch,train_loss,test_acc
1,2.9878302143544566,42.47
2,2.2869693405774174,49.72
3,1.9861713507953955,48.38
4,1.7937163771415243,51.62
5,1.5739760569163732,53.7
6,1.425523605881905,52.12
7,1.2837193991456712,53.01
8,1.1965753715865466,53.29
9,1.1213491279251722,53.4
10,1.0715369579135154,53.87
11,1.0054731876874456,53.77
12,0.9896402748263612,53.95
13,0.9756537967798661,53.69
14,0.9694439531589041,52.86
15,0.9570954411613698,53.29
16,0.9405893002237592,53.66
17,0.9330132336032634,52.95
18,0.9417352089468314,53.62
19,0.92451054922172,53.3
20,0.9201522910473298,53.96
