epoch,train_loss,test_acc
1,4.669560653822763,5.54
2,4.066042713972987,10.42
3,3.7308627075078538,14.26
4,3.5036993014569187,20.33
5,3.2728259502624977,23.71
6,3.0926368297362816,26.93
7,2.959165813971539,29.24
8,2.818071812999492,32.1
9,2.7146269168172563,35.26
10,2.6135702984673634,32.27
11,2.544436983916224,33.61
12,2.465295317221661,36.24
13,2.3992529876378117,36.85
14,2.356398740593268,37.8
15,2.281892939489715,37.54
16,2.2450145251896916,34.42
17,2.192233837380701,37.2
18,2.1573100211668987,37.57
19,2.119266238747811,37.54
20,2.079599059357935,36.64
