epoch,train_loss,test_acc
1,4.400955770696912,8.18
2,3.818662695738734,13.23
3,3.366147295552857,17.08
4,3.058408799220105,20.72
5,2.8447432797782275,23.96
6,2.6528285607999686,29.13
7,2.491619893482753,29.33
8,2.345750025340489,31.21
9,2.222672708180486,33.47
10,2.1096359175078723,35.39
11,2.021718204021454,34.12
12,1.9243437562670027,35.37
13,1.85687855798371,36.58
14,1.7851334889324344,36.89
15,1.7072799449064293,37.46
16,1.6636650130456807,37.24
17,1.6098154765002581,36.86
18,1.5601279991013663,37.93
19,1.4963644840279404,38.16
20,1.464435188137755,38.47
