epoch,train_loss,test_acc
1,3.2440640147851436,39.29
2,1.9895476297456391,47.25
3,1.5048649901030016,50.57
4,1.1520114173086322,51.18
5,0.8445545659989727,52.22
6,0.5927096089842369,52.4
7,0.39019477063295793,52.55
8,0.2413712665438652,52.22
9,0.14969600813121212,52.32
10,0.0955659924455139,52.36
11,0.06474994860437451,52.66
12,0.04529705290131423,52.8
13,0.035667338760151546,52.83
14,0.032757555989890684,52.33
15,0.03322875539164002,52.22
16,0.05674501009551542,51.7
17,0.08281504814227929,51.43
18,0.08166657222853023,52.39
19,0.07337355051113635,52.02
20,0.04412216530656632,52.05
