epoch,train_loss,test_acc
1,3.3166502875745145,42.69
2,2.3657967282073273,49.14
3,1.9918036037088964,51.82
4,1.7197247896048113,53.3
5,1.4924715385412621,53.62
6,1.3156134850533723,53.79
7,1.1779734460289215,53.85
8,1.0799624429029577,53.87
9,1.0171069316851817,53.81
10,0.9800060418865565,54.29
11,0.9546997024275153,54.71
12,0.939679575088384,54.19
13,0.9241849472150778,54.13
14,0.9122710651753808,54.24
15,0.9051564357164875,54.63
16,0.8998380585399735,55.05
17,0.8932877426866985,54.6
18,0.8896435541874917,54.86
19,0.8858463698640808,55.16
20,0.8790597235760116,55.1
