epoch,train_loss,test_acc
1,3.2271381323904635,33.62
2,2.605494215665266,44.5
3,2.346833374494177,45.51
4,2.1897300455881203,49.8
5,1.9879192362356064,50.13
6,1.910395177276543,48.28
7,1.9099580462631363,50.43
8,1.93272269732507,50.24
9,1.7453022051955123,51.4
10,1.5666411057152712,49.0
11,1.5410902683082444,51.78
12,1.4486878630145432,50.12
13,1.406864668249779,51.41
14,1.3442893352197565,51.32
15,1.3452770540781338,50.52
16,1.2261897076273818,51.38
17,1.1587910412827416,50.24
18,1.1665445278062845,49.78
19,1.201981688094566,47.73
20,1.185796025463992,50.05
