epoch,train_loss,test_acc
1,3.1912720752189228,44.81
2,2.3600883857368506,50.38
3,2.024680015376157,53.51
4,1.782155745779462,54.03
5,1.5798281556200189,55.19
6,1.4209400673046746,55.36
7,1.2939520144401608,55.07
8,1.2009118275569224,55.29
9,1.1304731446763743,55.33
10,1.0766563516900973,55.33
11,1.0410340242373668,55.42
12,1.0148063780706558,55.38
13,0.9902363320445771,55.99
14,0.9802069054997485,56.22
15,0.9677362579213994,56.0
16,0.9578941111521952,56.05
17,0.9426084560201601,56.05
18,0.9378755754217163,56.44
19,0.921047240114578,56.49
20,0.92134965060617,56.7
