epoch,train_loss,test_acc
1,2.890331401849342,38.64
2,2.152546664790424,43.22
3,1.8321590711698508,46.48
4,1.6169468315361102,47.38
5,1.3872899519055701,48.86
6,1.2337049302237724,49.57
7,1.0503487207395645,50.83
8,0.9254920192234352,51.4
9,0.8266741766420471,50.41
10,0.7140094448271614,51.45
11,0.6223765478833861,49.76
12,0.5807267220123954,49.75
13,0.5169318048545467,50.71
14,0.47642884769326893,49.65
15,0.448112836217179,48.37
16,0.4118309672778982,49.21
17,0.3872607050515959,49.48
18,0.37470555679915507,49.46
19,0.3482558757181058,50.13
20,0.34909368905684224,48.9
