epoch,train_loss,test_acc
1,4.58832348094267,7.14
2,3.7668716370906976,7.58
3,3.3774313207172675,21.52
4,3.037038698220802,24.81
5,2.7696169154418397,29.87
6,2.598758274941798,30.2
7,2.477973843474522,32.29
8,2.385659116918169,33.02
9,2.29689635035327,31.14
10,2.2182479493148493,36.37
11,2.163522371245772,35.14
12,2.1075076538583506,35.49
13,2.057943671560653,37.13
14,2.0173421982304216,36.27
15,1.988675241884978,39.68
16,1.9545996423877414,37.25
17,1.9263712920801108,39.35
18,1.8949344606350755,37.25
19,1.8710762173928264,34.43
20,1.858036568097751,38.55
