epoch,train_loss,test_acc
1,2.7064333684609063,37.83
2,1.9316947246756395,45.67
3,1.6002141908001717,49.62
4,1.34286846483455,50.39
5,1.1373535179725998,50.98
6,0.9655956104588326,50.7
7,0.8184786884833479,51.76
8,0.6908524409889261,50.84
9,0.5997781075937364,51.63
10,0.5197974327961197,51.58
11,0.45198761204929305,51.15
12,0.4062716288639761,50.84
13,0.36707494295466586,50.92
14,0.3271585248810861,51.36
15,0.31471590133731625,51.06
16,0.28562453076662614,51.15
17,0.2697842392279669,50.67
18,0.25068858848965686,49.68
19,0.25796746162464246,50.58
20,0.24592355892176518,50.44
