epoch,train_loss,test_acc
1,2.6194256896875343,42.03
2,1.7744859578658123,45.8
3,1.4124134572184817,51.11
4,1.1495709270238876,51.47
5,0.9136412587701058,51.59
6,0.7580793360058142,51.54
7,0.615935785581871,51.05
8,0.51198667485495,52.97
9,0.4099505587804074,52.2
10,0.3498247702206884,51.77
11,0.3255968406340297,51.62
12,0.28987731427258373,52.61
13,0.2504036279433236,50.38
14,0.2409579541002001,53.32
15,0.19464394750491698,51.89
16,0.20149526824908598,51.49
17,0.19392790561731982,53.02
18,0.16355166390386164,52.08
19,0.1856731558408664,51.93
20,0.1714009408059777,53.2
