epoch,train_loss,test_acc
1,2.8565418762928996,45.01
2,1.8332284181319234,50.36
3,1.4307798297356462,53.31
4,1.1324559242066825,53.77
5,0.8768804985315294,55.16
6,0.6740295694917059,56.06
7,0.5158958880378463,54.85
8,0.39246296377666773,54.76
9,0.30983158911737946,55.07
10,0.26296341204849044,54.73
11,0.2294621378840769,55.25
12,0.20248406974936994,55.27
13,0.17445366249879454,55.29
14,0.1663935172354893,54.86
15,0.15291776871094315,55.2
16,0.1421558371413966,54.65
17,0.13857957788164277,54.57
18,0.13778494140776373,54.85
19,0.1230862405546524,55.01
20,0.12354435975594288,54.87
